iso3,link,text,date
EARTH,https://www.iges.or.jp/en/pub/iges-indc-ndc-database/en,IGES NDC Database,
EARTH,https://themasites.pbl.nl/o/climate-ndc-policies-tool/,PBL Climate Pledge NDC tool,
EARTH,https://www.showyourbudgets.org/de/?country=whole_world,\#showyourbudgets,
EARTH,https://www.theguardian.com/environment/2020/sep/21/worlds-richest-1-cause-double-co2-emissions-of-poorest-50-says-oxfam?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"World's richest 1\% cause double CO$_2$ emissions of poorest 50\%, says Oxfam",
EARTH,https://www.carbonbrief.org/guest-post-calculating-the-true-climate-impact-of-aviation-emissions?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Guest post: Calculating the true climate impact of aviation emissions",September 2020
EARTH,https://unfccc.int/,UNFCCC (United Nations Framework Convention on Climate Change),
EARTH,https://www.ipcc.ch/,IPCC (The Intergovernmental Panel on Climate Change),
EARTH,https://www.ipcc.ch/sr15/,IPCC Special Report: Global Warming of 1.5$^{\circ}$,2018
EARTH,https://www.isimip.org/isipedia/#isipedia-portal,ISIMIP~/ ISIpedia,
EARTH,https://www.washingtonpost.com/weather/2020/09/23/atlantic-hurricanes-record-2020/?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Why the 2020 Atlantic hurricane season has spun out of control: Extra-warm ocean waters, boosted by climate change, and La Niña are key drivers in historic season.",September 2020
EARTH,https://www.wri.org/,WORLD RESOURCES INSTITUTE,
EARTH,https://www.wri.org/blog/2019/07/countries-climate-plans-ndcs-are-missing-big-opportunity-reducing-food-loss-and-waste,"Countries' Climate Plans (NDCs) Are Missing a Big Opportunity: Reducing Food Loss and Waste",3 July 2019
EARTH,https://www.theguardian.com/environment/2020/sep/23/melting-antarctic-ice-will-raise-sea-level-by-25-metres-even-if-paris-climate-goals-are-met-study-finds?CMP=share_btn_tw&utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Melting Antarctic ice will raise sea level by 2.5 metres~- even if Paris climate goals are met, study finds",23 September 2020
EARTH,https://www.theguardian.com/environment/2020/sep/23/few-countries-living-up-to-green-recovery-promises-analysis?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Few countries living up to Covid 'green recovery' pledges~– analysis",23 September 2020
EARTH,https://www.bbc.com/news/science-environment-54274644?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Coronavirus: Climate action cannot be another Covid victim~- PM",23 September 2020
EU28,https://uk.reuters.com/article/us-airlines-eu/eu-aims-to-cut-aviation-emissions-by-10-with-more-direct-flights-idUKKCN26D1KS?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,EU aims to cut aviation emissions by 10\% with more direct flights,September 2020
EU28,https://ec.europa.eu/commission/presscorner/detail/en/IP_20_1599,"State of the Union: Commission raises climate ambition and proposes 55\% cut in emissions by 2030", 17 September 2020
EU28,https://www.independent.co.uk/environment/farming-eu-emissions-cars-road-vehicles-climate-impact-greenpeace-b552317.html?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Climate crisis: Animal farming producing greater total emissions in EU than all cars and vans combined, analysis finds",23 September 2020
USA,https://www.nytimes.com/2020/09/22/climate/biden-climate-change.html?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,Democratic Donors Push Biden for a Cabinet Free of Fossil Fuel Connections,September 2020
USA,https://www.independent.co.uk/independentpremium/us/hawaii-tourists-beach-island-sea-level-rise-climate-change-oahu-b530969.html?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,Sea-level rise could claim 40% of beaches on Hawaii's most visited island by 2050,September 2020
USA,https://www.deccanherald.com/international/world-news-politics/joe-biden-vows-to-rejoin-paris-agreement-set-new-standards-887732.html,"Joe Biden vows to rejoin Paris Agreement, set new standards",15 September 2020 
USA,https://www.carbonbrief.org/us-sees-alarming-increase-in-combined-heatwaves-and-droughts?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"US sees 'alarming' increase in combined heatwaves and droughts: Climate change has driven an 'alarming' increase in the number of years with both heatwaves and droughts across the US over the past five decades, a study finds.",23 September 2020
